"filename", "language", "Python", "Markdown", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "JSON with Comments", "Shell Script", "JavaScript", "Properties", "Ignore", "Docker", "XML", "YAML", "HTML", "comment", "blank", "total"
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/video-model/v1/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/video-model/v1/video-model-v1-call-options.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/video-model/v1/video-model-v1-call-warning.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/video-model/v1/video-model-v1.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/types/video-model.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/(legal)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 45
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/feedbacks/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 90
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/posts/[uuid]/edit/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 194
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(admin)/admin/posts/add/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 170
